Object ID *,Geographic Identifier - FIPS Code *,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Home Value (for Owner-Occupied Housing Units) *
1,1,630,157100
2,2,1153,282800
3,4,994,265600
4,5,612,142100
5,6,1547,573200
6,8,1325,397500
7,9,1069,286700
8,10,1020,269700
9,11,1595,635900
10,12,1149,248700
11,13,902,206700
12,15,1591,662100
13,16,817,266500
14,17,941,212600
15,18,709,158500
16,19,689,160700
17,20,706,164800
18,21,642,155100
19,22,748,174000
20,23,810,212100
21,24,1330,338500
22,25,1269,424700
23,26,779,172100
24,27,972,250200
25,28,625,133000
26,29,692,171800
27,30,772,263700
28,31,746,174100
29,32,1087,315900
30,33,1076,288700
31,34,1297,355700
32,35,770,184800
33,36,1265,340600
34,37,799,197500
35,38,764,209900
36,39,700,159900
37,40,679,150800
38,41,1114,362200
39,42,835,197300
40,44,929,292600
41,45,762,181800
42,46,695,187800
43,47,751,193700
44,48,971,202600
45,49,1040,339700
46,50,932,240600
47,51,1152,295500
48,53,1305,397600
49,54,579,128800
50,55,780,200400
51,56,752,237900
52,72,392,111800
